Data Type,Test Destruction Efficiencies,,,,
Use,Destruction efficiencies for 4SRB,,,,
Units,N/A,,,,
Source,GEF study,,,,
%%%ENDOFMETADATA%%%,,,,,
METHANE,METHANE Probability,ETHANE,ETHANE Probability,PROPANE,PROPANE Probability
0.997330754,0.1,0.99921853,0.1,0.999520503,0.1
0.998582189,0.1,0.999495794,0.1,0.999972012,0.1
0.999029499,0.1,0.999885329,0.1,0.999764493,0.1
0.998106764,0.1,0.9996773,0.1,0.999864436,0.1
0.998473238,0.1,0.999897106,0.1,0.999895465,0.1
0.99970284,0.1,0.99999824,0.1,0.999802058,0.1
0.997889174,0.1,0.999346255,0.1,0.999825724,0.1
0.998257886,0.1,0.999441846,0.1,0.999867062,0.1
0.998212708,0.1,0.999531578,0.1,0.999887957,0.1
0.99936439,0.1,0.999958368,0.1,0.999939994,0.1
