Distribution Type,Lognormal
Use,EMISSIONS
Units,scf_wholegas
Emission Factor Type,Leaker
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
Activity Basis,One per Station
User Units,scfs (wholegas)
Source,doi: 10.1021/acs.est.0c00516 File: AvgFactor.xlsx Sheet: C Blowdown Vent
Component,Station Vent
Notes,
Mean of Leaking,1.3791
Large Emitters Detected,2
Locations Screened,20
Activity Count,176
Leak Probability,0.011364
Survey Frequency,Annual (estimated)
%%%ENDOFMETADATA%%%,
mu,sigma
-0.3596461,1.16713762
