Distribution Type,"Lognormal"
Use,"EMISSIONS"
Units,"scf_wholegas"
Emission Factor Type,"Leaker"
Gas Type,"whole_gas"
Emission Unit,"scf"
Time Basis,"s"
Activity Basis,"One per Tank"
User Units,"scfs (wholegas)"
Source,"doi: 10.1021/acs.est.0c00516 File: AvgFactor.xlsx Sheet: C Blowdown Vent"
Component,"Single-Unit Vent"
Notes,"Use either this factor with activity of one per tank, or tank multi-unit vent distribution"
Mean of Leaking,"0.67114"
Large Emitters Detected,"2"
Locations Screened,"79"
Activity Count,"119"
Leak Probability,"0.016807"
Survey Frequency,"Annual (estimated)"
%%%ENDOFMETADATA%%%,""
mu,sigma
-0.76540322,0.85630076
